0.001 1 1 1 1 1
0.002 0.999998 0.999988 0.99997 0.999943 0.999909
0.003 0.999992 0.999956 0.999891 0.999798 0.999676
0.004 0.999982 0.999907 0.999771 0.999575 0.999318
0.005 0.99997 0.999842 0.999611 0.999277 0.998842
0.006 0.999955 0.999761 0.999412 0.998908 0.99825
0.007 0.999936 0.999664 0.999174 0.998467 0.997543
0.008 0.999915 0.999552 0.998899 0.997956 0.996723
0.009 0.999891 0.999424 0.998585 0.997374 0.995791
0.01 0.999864 0.999281 0.998234 0.996722 0.994747
0.011 0.999834 0.999123 0.997845 0.996 0.993591
0.012 0.999801 0.998949 0.997418 0.995208 0.992324
0.013 0.999765 0.99876 0.996954 0.994347 0.990945
0.014 0.999726 0.998556 0.996452 0.993417 0.989457
0.015 0.999684 0.998337 0.995913 0.992417 0.987858
0.016 0.99964 0.998102 0.995337 0.991349 0.986149
0.017 0.999592 0.997852 0.994723 0.990212 0.98433
0.018 0.999542 0.997587 0.994072 0.989006 0.982403
0.019 0.999489 0.997306 0.993384 0.987731 0.980367
0.02 0.999433 0.99701 0.992658 0.986388 0.978222
0.021 0.999374 0.9967 0.991896 0.984976 0.975969
0.022 0.999312 0.996374 0.991096 0.983497 0.973608
0.023 0.999247 0.996032 0.990259 0.98195 0.971141
0.024 0.999179 0.995676 0.989386 0.980335 0.968566
0.025 0.999109 0.995304 0.988475 0.978652 0.965885
0.026 0.999035 0.994918 0.987528 0.976902 0.963099
0.027 0.998959 0.994516 0.986544 0.975085 0.960206
0.028 0.99888 0.994099 0.985523 0.973201 0.957209
0.029 0.998797 0.993667 0.984466 0.97125 0.954108
0.03 0.998712 0.99322 0.983372 0.969232 0.950903
0.031 0.998625 0.992758 0.982241 0.967148 0.947594
0.032 0.998534 0.99228 0.981074 0.964998 0.944182
0.033 0.99844 0.991788 0.979871 0.962782 0.940669
0.034 0.998343 0.991281 0.978631 0.9605 0.937054
0.035 0.998244 0.990758 0.977355 0.958153 0.933337
0.036 0.998142 0.990221 0.976043 0.955741 0.929521
0.037 0.998037 0.989668 0.974694 0.953264 0.925604
0.038 0.997928 0.989101 0.97331 0.950722 0.921589
0.039 0.997817 0.988518 0.97189 0.948115 0.917475
0.04 0.997704 0.987921 0.970433 0.945445 0.913264
0.041 0.997587 0.987308 0.968941 0.942711 0.908955
0.042 0.997467 0.986681 0.967414 0.939913 0.90455
0.043 0.997345 0.986039 0.96585 0.937051 0.90005
0.044 0.997219 0.985382 0.964252 0.934127 0.895455
0.045 0.997091 0.984709 0.962617 0.93114 0.890765
0.046 0.99696 0.984023 0.960948 0.928091 0.885983
0.047 0.996826 0.983321 0.959243 0.92498 0.881108
0.048 0.996689 0.982604 0.957503 0.921807 0.876141
0.049 0.99655 0.981873 0.955728 0.918573 0.871084
0.05 0.996407 0.981126 0.953918 0.915277 0.865936
0.051 0.996261 0.980365 0.952073 0.911921 0.8607
0.052 0.996113 0.979589 0.950193 0.908504 0.855375
0.053 0.995962 0.978798 0.948279 0.905028 0.849963
0.054 0.995808 0.977993 0.94633 0.901492 0.844464
0.055 0.995651 0.977173 0.944347 0.897896 0.83888
0.056 0.995491 0.976338 0.942329 0.894242 0.833211
0.057 0.995328 0.975489 0.940277 0.890529 0.827459
0.058 0.995163 0.974624 0.938191 0.886758 0.821623
0.059 0.994994 0.973745 0.936071 0.88293 0.815706
0.06 0.994823 0.972852 0.933918 0.879043 0.809708
0.061 0.994649 0.971944 0.93173 0.8751 0.803631
0.062 0.994472 0.971021 0.929509 0.871101 0.797474
0.063 0.994292 0.970084 0.927254 0.867045 0.79124
0.064 0.994109 0.969132 0.924967 0.862934 0.784929
0.065 0.993923 0.968166 0.922645 0.858767 0.778542
0.066 0.993735 0.967185 0.920291 0.854546 0.772081
0.067 0.993544 0.96619 0.917904 0.85027 0.765546
0.068 0.993349 0.96518 0.915484 0.84594 0.758938
0.069 0.993152 0.964156 0.913031 0.841556 0.75226
0.07 0.992952 0.963117 0.910546 0.83712 0.74551
0.071 0.99275 0.962064 0.908028 0.832631 0.738692
0.072 0.992544 0.960997 0.905478 0.82809 0.731805
0.073 0.992336 0.959915 0.902896 0.823497 0.724852
0.074 0.992124 0.958819 0.900282 0.818853 0.717832
0.075 0.99191 0.957709 0.897636 0.814158 0.710748
0.076 0.991693 0.956584 0.894958 0.809413 0.703601
0.077 0.991473 0.955446 0.892249 0.804618 0.696391
0.078 0.99125 0.954293 0.889508 0.799774 0.68912
0.079 0.991025 0.953126 0.886736 0.794881 0.681789
0.08 0.990796 0.951944 0.883933 0.78994 0.674399
0.081 0.990565 0.950749 0.881099 0.784951 0.666952
0.082 0.990331 0.949539 0.878234 0.779915 0.659448
0.083 0.990094 0.948316 0.875339 0.774832 0.65189
0.084 0.989854 0.947078 0.872413 0.769703 0.644277
0.085 0.989611 0.945826 0.869457 0.764529 0.636612
0.086 0.989366 0.94456 0.866471 0.759309 0.628895
0.087 0.989117 0.943281 0.863455 0.754045 0.621128
0.088 0.988866 0.941987 0.860409 0.748736 0.613313
0.089 0.988612 0.94068 0.857333 0.743384 0.60545
0.09 0.988355 0.939358 0.854228 0.73799 0.59754
0.091 0.988096 0.938023 0.851094 0.732552 0.589586
0.092 0.987833 0.936674 0.84793 0.727073 0.581587
